month,level_2,value
1990-10,Housing & Utilities,62.748
1990-10,Transport,65.827
1990-11,Food,58.396
1990-11,Food Excl Food Serving Services,57.696
1990-11,Food Serving Services,58.602
1990-11,Housing & Utilities,63.551
1990-11,Transport,64.085
1990-12,Food,58.91
1990-12,Food Excl Food Serving Services,58.649
1990-12,Food Serving Services,58.669
1990-12,Housing & Utilities,63.684
1990-12,Transport,63.667
1991-01,Food,58.441
1991-01,Food Excl Food Serving Services,57.595
1991-01,Food Serving Services,58.794
1991-01,Housing & Utilities,63.801
1991-01,Transport,63.443
1991-02,Food,59.287
1991-02,Food Excl Food Serving Services,59.08
1991-02,Food Serving Services,58.988
1991-02,Housing & Utilities,63.8
1991-02,Transport,64.569
1991-03,Food,58.792
1991-03,Food Excl Food Serving Services,57.995
1991-03,Food Serving Services,59.093
1991-03,Housing & Utilities,63.672
1991-03,Transport,63.068
1991-04,Food,59.301
1991-04,Food Excl Food Serving Services,58.842
1991-04,Food Serving Services,59.255
1991-04,Housing & Utilities,63.942
1991-04,Transport,63.449
1991-05,Food,59.654
1991-05,Food Excl Food Serving Services,59.482
1991-05,Food Serving Services,59.316
1991-05,Housing & Utilities,63.276
1991-05,Transport,64.331
1991-06,Food,59.591
1991-06,Food Excl Food Serving Services,59.379
1991-06,Food Serving Services,59.293
1991-06,Housing & Utilities,63.277
1991-06,Transport,65.225
1991-07,Food,59.487
1991-07,Food Excl Food Serving Services,59.033
1991-07,Food Serving Services,59.434
1991-07,Housing & Utilities,63.339
1991-07,Transport,65.166
1991-08,Food,59.667
1991-08,Food Excl Food Serving Services,59.219
1991-08,Food Serving Services,59.607
1991-08,Housing & Utilities,63.336
1991-08,Transport,65.453
1991-09,Food,59.378
1991-09,Food Excl Food Serving Services,58.586
1991-09,Food Serving Services,59.668
1991-09,Housing & Utilities,63.336
1991-09,Transport,65.585
1991-10,Food,59.332
1991-10,Food Excl Food Serving Services,58.461
1991-10,Food Serving Services,59.703
1991-10,Housing & Utilities,63.772
1991-10,Transport,64.796
1991-11,Food,59.516
1991-11,Food Excl Food Serving Services,58.824
1991-11,Food Serving Services,59.705
1991-11,Housing & Utilities,63.392
1991-11,Transport,65.236
1991-12,Food,60.5
1991-12,Food Excl Food Serving Services,60.71
1991-12,Food Serving Services,59.769
1991-12,Housing & Utilities,63.392
1991-12,Transport,65.902
1992-01,Food,60.02
1992-01,Food Excl Food Serving Services,59.78
1992-01,Food Serving Services,59.747
1992-01,Housing & Utilities,63.895
1992-01,Transport,66.182
1992-02,Food,60.08
1992-02,Food Excl Food Serving Services,59.826
1992-02,Food Serving Services,59.821
1992-02,Housing & Utilities,63.704
1992-02,Transport,65.436
1992-03,Food,59.73
1992-03,Food Excl Food Serving Services,59.024
1992-03,Food Serving Services,59.931
1992-03,Housing & Utilities,63.704
1992-03,Transport,65.311
1992-04,Food,59.934
1992-04,Food Excl Food Serving Services,59.318
1992-04,Food Serving Services,60.043
1992-04,Housing & Utilities,64.914
1992-04,Transport,65.757
1992-05,Food,60.342
1992-05,Food Excl Food Serving Services,59.973
1992-05,Food Serving Services,60.197
1992-05,Housing & Utilities,64.914
1992-05,Transport,66.754
1992-06,Food,60.296
1992-06,Food Excl Food Serving Services,59.847
1992-06,Food Serving Services,60.231
1992-06,Housing & Utilities,64.93
1992-06,Transport,66.84
1992-07,Food,60.493
1992-07,Food Excl Food Serving Services,60.223
1992-07,Food Serving Services,60.247
1992-07,Housing & Utilities,65.794
1992-07,Transport,67.064
1992-08,Food,60.204
1992-08,Food Excl Food Serving Services,59.575
1992-08,Food Serving Services,60.324
1992-08,Housing & Utilities,65.794
1992-08,Transport,67.26
1992-09,Food,60.064
1992-09,Food Excl Food Serving Services,59.228
1992-09,Food Serving Services,60.393
1992-09,Housing & Utilities,65.791
1992-09,Transport,67.268
1992-10,Food,59.99
1992-10,Food Excl Food Serving Services,59.069
1992-10,Food Serving Services,60.406
1992-10,Housing & Utilities,66.041
1992-10,Transport,67.569
1992-11,Food,60.051
1992-11,Food Excl Food Serving Services,59.14
1992-11,Food Serving Services,60.456
1992-11,Housing & Utilities,66.232
1992-11,Transport,68.016
1992-12,Food,60.317
1992-12,Food Excl Food Serving Services,59.584
1992-12,Food Serving Services,60.54
1992-12,Housing & Utilities,66.236
1992-12,Transport,67.435
1993-01,Food,61.278
1993-01,Food Excl Food Serving Services,61.171
1993-01,Food Serving Services,60.908
1993-01,Housing & Utilities,67.132
1993-01,Transport,66.927
1993-02,Food,60.301
1993-02,Food Excl Food Serving Services,59.152
1993-02,Food Serving Services,60.942
1993-02,Housing & Utilities,67.132
1993-02,Transport,66.725
1993-03,Food,60.315
1993-03,Food Excl Food Serving Services,59.001
1993-03,Food Serving Services,61.114
1993-03,Housing & Utilities,67.243
1993-03,Transport,67.203
1993-04,Food,60.48
1993-04,Food Excl Food Serving Services,59.298
1993-04,Food Serving Services,61.152
1993-04,Housing & Utilities,67.304
1993-04,Transport,67.945
1993-05,Food,60.801
1993-05,Food Excl Food Serving Services,59.865
1993-05,Food Serving Services,61.233
1993-05,Housing & Utilities,67.304
1993-05,Transport,68.268
1993-06,Food,60.512
1993-06,Food Excl Food Serving Services,59.217
1993-06,Food Serving Services,61.291
1993-06,Housing & Utilities,67.417
1993-06,Transport,68.55
1993-07,Food,60.881
1993-07,Food Excl Food Serving Services,59.78
1993-07,Food Serving Services,61.472
1993-07,Housing & Utilities,67.624
1993-07,Transport,68.942
1993-08,Food,60.698
1993-08,Food Excl Food Serving Services,59.275
1993-08,Food Serving Services,61.6
1993-08,Housing & Utilities,67.632
1993-08,Transport,68.902
1993-09,Food,60.457
1993-09,Food Excl Food Serving Services,58.758
1993-09,Food Serving Services,61.625
1993-09,Housing & Utilities,67.733
1993-09,Transport,69.364
1993-10,Food,60.651
1993-10,Food Excl Food Serving Services,59.168
1993-10,Food Serving Services,61.608
1993-10,Housing & Utilities,68.013
1993-10,Transport,69.909
1993-11,Food,60.929
1993-11,Food Excl Food Serving Services,59.73
1993-11,Food Serving Services,61.613
1993-11,Housing & Utilities,68.014
1993-11,Transport,70.617
1993-12,Food,61.178
1993-12,Food Excl Food Serving Services,60.163
1993-12,Food Serving Services,61.682
1993-12,Housing & Utilities,68.013
1993-12,Transport,71.651
1994-01,Food,61.375
1994-01,Food Excl Food Serving Services,60.035
1994-01,Food Serving Services,62.191
1994-01,Housing & Utilities,68.135
1994-01,Transport,72.81
1994-02,Food,62.598
1994-02,Food Excl Food Serving Services,62.195
1994-02,Food Serving Services,62.502
1994-02,Housing & Utilities,67.956
1994-02,Transport,71.874
1994-03,Food,61.944
1994-03,Food Excl Food Serving Services,60.852
1994-03,Food Serving Services,62.516
1994-03,Housing & Utilities,67.958
1994-03,Transport,70.643
1994-04,Food,62.174
1994-04,Food Excl Food Serving Services,60.175
1994-04,Food Serving Services,63.617
1994-04,Housing & Utilities,68.513
1994-04,Transport,71.551
1994-05,Food,62.88
1994-05,Food Excl Food Serving Services,61.256
1994-05,Food Serving Services,63.957
1994-05,Housing & Utilities,68.5
1994-05,Transport,72.455
1994-06,Food,63.134
1994-06,Food Excl Food Serving Services,61.699
1994-06,Food Serving Services,64.028
1994-06,Housing & Utilities,68.644
1994-06,Transport,73.97
1994-07,Food,63.3
1994-07,Food Excl Food Serving Services,61.831
1994-07,Food Serving Services,64.225
1994-07,Housing & Utilities,68.442
1994-07,Transport,74.557
1994-08,Food,63.164
1994-08,Food Excl Food Serving Services,61.506
1994-08,Food Serving Services,64.272
1994-08,Housing & Utilities,68.661
1994-08,Transport,74.995
1994-09,Food,63.21
1994-09,Food Excl Food Serving Services,61.555
1994-09,Food Serving Services,64.314
1994-09,Housing & Utilities,68.68
1994-09,Transport,75.329
1994-10,Food,63.409
1994-10,Food Excl Food Serving Services,61.86
1994-10,Food Serving Services,64.411
1994-10,Housing & Utilities,68.733
1994-10,Transport,76.172
1994-11,Food,63.545
1994-11,Food Excl Food Serving Services,62.067
1994-11,Food Serving Services,64.478
1994-11,Housing & Utilities,68.75
1994-11,Transport,77.466
1994-12,Food,63.529
1994-12,Food Excl Food Serving Services,61.89
1994-12,Food Serving Services,64.616
1994-12,Housing & Utilities,68.751
1994-12,Transport,76.049
1995-01,Food,64.269
1995-01,Food Excl Food Serving Services,63.255
1995-01,Food Serving Services,64.75
1995-01,Housing & Utilities,68.797
1995-01,Transport,74.659
1995-02,Food,64.632
1995-02,Food Excl Food Serving Services,63.901
1995-02,Food Serving Services,64.837
1995-02,Housing & Utilities,68.818
1995-02,Transport,73.839
1995-03,Food,63.82
1995-03,Food Excl Food Serving Services,61.902
1995-03,Food Serving Services,65.172
1995-03,Housing & Utilities,68.893
1995-03,Transport,73.171
1995-04,Food,64.044
1995-04,Food Excl Food Serving Services,61.995
1995-04,Food Serving Services,65.521
1995-04,Housing & Utilities,69.024
1995-04,Transport,74.014
1995-05,Food,64.18
1995-05,Food Excl Food Serving Services,62.004
1995-05,Food Serving Services,65.778
1995-05,Housing & Utilities,69.176
1995-05,Transport,75.372
1995-06,Food,63.934
1995-06,Food Excl Food Serving Services,61.48
1995-06,Food Serving Services,65.801
1995-06,Housing & Utilities,69.33
1995-06,Transport,76.014
1995-07,Food,64.593
1995-07,Food Excl Food Serving Services,62.759
1995-07,Food Serving Services,65.86
1995-07,Housing & Utilities,69.287
1995-07,Transport,75.079
1995-08,Food,64.726
1995-08,Food Excl Food Serving Services,62.931
1995-08,Food Serving Services,65.954
1995-08,Housing & Utilities,69.289
1995-08,Transport,74.582
1995-09,Food,64.321
1995-09,Food Excl Food Serving Services,62.046
1995-09,Food Serving Services,66.014
1995-09,Housing & Utilities,69.288
1995-09,Transport,74.643
1995-10,Food,64.192
1995-10,Food Excl Food Serving Services,61.749
1995-10,Food Serving Services,66.047
1995-10,Housing & Utilities,69.29
1995-10,Transport,75.75
1995-11,Food,64.58
1995-11,Food Excl Food Serving Services,62.304
1995-11,Food Serving Services,66.271
1995-11,Housing & Utilities,69.291
1995-11,Transport,75.544
1995-12,Food,64.319
1995-12,Food Excl Food Serving Services,61.694
1995-12,Food Serving Services,66.347
1995-12,Housing & Utilities,69.295
1995-12,Transport,74.054
1996-01,Food,64.578
1996-01,Food Excl Food Serving Services,62.111
1996-01,Food Serving Services,66.453
1996-01,Housing & Utilities,69.366
1996-01,Transport,74.362
1996-02,Food,65.687
1996-02,Food Excl Food Serving Services,64.265
1996-02,Food Serving Services,66.55
1996-02,Housing & Utilities,69.642
1996-02,Transport,74.792
1996-03,Food,64.732
1996-03,Food Excl Food Serving Services,61.951
1996-03,Food Serving Services,66.907
1996-03,Housing & Utilities,69.651
1996-03,Transport,74.724
1996-04,Food,65.156
1996-04,Food Excl Food Serving Services,62.562
1996-04,Food Serving Services,67.149
1996-04,Housing & Utilities,69.712
1996-04,Transport,74.06
1996-05,Food,65.58
1996-05,Food Excl Food Serving Services,63.33
1996-05,Food Serving Services,67.237
1996-05,Housing & Utilities,69.749
1996-05,Transport,75.296
1996-06,Food,65.629
1996-06,Food Excl Food Serving Services,63.31
1996-06,Food Serving Services,67.353
1996-06,Housing & Utilities,69.749
1996-06,Transport,75.502
1996-07,Food,66.029
1996-07,Food Excl Food Serving Services,63.906
1996-07,Food Serving Services,67.563
1996-07,Housing & Utilities,69.872
1996-07,Transport,75.113
1996-08,Food,66.098
1996-08,Food Excl Food Serving Services,63.936
1996-08,Food Serving Services,67.668
1996-08,Housing & Utilities,69.781
1996-08,Transport,75.089
1996-09,Food,65.977
1996-09,Food Excl Food Serving Services,63.606
1996-09,Food Serving Services,67.75
1996-09,Housing & Utilities,69.781
1996-09,Transport,75.286
1996-10,Food,66.178
1996-10,Food Excl Food Serving Services,64.007
1996-10,Food Serving Services,67.757
1996-10,Housing & Utilities,69.876
1996-10,Transport,75.332
1996-11,Food,65.988
1996-11,Food Excl Food Serving Services,63.512
1996-11,Food Serving Services,67.86
1996-11,Housing & Utilities,70.149
1996-11,Transport,75.641
1996-12,Food,66.277
1996-12,Food Excl Food Serving Services,63.936
1996-12,Food Serving Services,68.018
1996-12,Housing & Utilities,70.166
1996-12,Transport,75.917
1997-01,Food,66.35
1997-01,Food Excl Food Serving Services,64.081
1997-01,Food Serving Services,68.02
1997-01,Housing & Utilities,70.46
1997-01,Transport,76.613
1997-02,Food,67.576
1997-02,Food Excl Food Serving Services,66.456
1997-02,Food Serving Services,68.133
1997-02,Housing & Utilities,70.46
1997-02,Transport,76.157
1997-03,Food,66.612
1997-03,Food Excl Food Serving Services,64.612
1997-03,Food Serving Services,68.023
1997-03,Housing & Utilities,70.468
1997-03,Transport,75.866
1997-04,Food,66.67
1997-04,Food Excl Food Serving Services,64.627
1997-04,Food Serving Services,68.121
1997-04,Housing & Utilities,71.173
1997-04,Transport,76.656
1997-05,Food,66.788
1997-05,Food Excl Food Serving Services,64.864
1997-05,Food Serving Services,68.122
1997-05,Housing & Utilities,70.929
1997-05,Transport,77.624
1997-06,Food,66.875
1997-06,Food Excl Food Serving Services,64.784
1997-06,Food Serving Services,68.372
1997-06,Housing & Utilities,71.036
1997-06,Transport,79.967
1997-07,Food,67.101
1997-07,Food Excl Food Serving Services,64.939
1997-07,Food Serving Services,68.663
1997-07,Housing & Utilities,72.319
1997-07,Transport,80.218
1997-08,Food,67.21
1997-08,Food Excl Food Serving Services,65.08
1997-08,Food Serving Services,68.74
1997-08,Housing & Utilities,72.432
1997-08,Transport,80.212
1997-09,Food,67.229
1997-09,Food Excl Food Serving Services,65.112
1997-09,Food Serving Services,68.746
1997-09,Housing & Utilities,72.433
1997-09,Transport,80.244
1997-10,Food,67.136
1997-10,Food Excl Food Serving Services,64.798
1997-10,Food Serving Services,68.867
1997-10,Housing & Utilities,73.323
1997-10,Transport,80.062
1997-11,Food,67.169
1997-11,Food Excl Food Serving Services,64.704
1997-11,Food Serving Services,69.021
1997-11,Housing & Utilities,73.48
1997-11,Transport,79.811
1997-12,Food,67.202
1997-12,Food Excl Food Serving Services,64.619
1997-12,Food Serving Services,69.167
1997-12,Housing & Utilities,73.487
1997-12,Transport,79.209
1998-01,Food,67.669
1998-01,Food Excl Food Serving Services,65.488
1998-01,Food Serving Services,69.321
1998-01,Housing & Utilities,73.681
1998-01,Transport,75.323
1998-02,Food,67.439
1998-02,Food Excl Food Serving Services,64.947
1998-02,Food Serving Services,69.354
1998-02,Housing & Utilities,74.026
1998-02,Transport,75.56
1998-03,Food,67.081
1998-03,Food Excl Food Serving Services,64.17
1998-03,Food Serving Services,69.352
1998-03,Housing & Utilities,74.023
1998-03,Transport,75.115
1998-04,Food,67.077
1998-04,Food Excl Food Serving Services,64.133
1998-04,Food Serving Services,69.375
1998-04,Housing & Utilities,74.115
1998-04,Transport,74.998
1998-05,Food,67.337
1998-05,Food Excl Food Serving Services,64.679
1998-05,Food Serving Services,69.393
1998-05,Housing & Utilities,73.103
1998-05,Transport,75.148
1998-06,Food,67.198
1998-06,Food Excl Food Serving Services,64.325
1998-06,Food Serving Services,69.436
1998-06,Housing & Utilities,73.08
1998-06,Transport,75.331
1998-07,Food,67.11
1998-07,Food Excl Food Serving Services,64.117
1998-07,Food Serving Services,69.449
1998-07,Housing & Utilities,73.774
1998-07,Transport,75.368
1998-08,Food,67.008
1998-08,Food Excl Food Serving Services,63.882
1998-08,Food Serving Services,69.461
1998-08,Housing & Utilities,73.772
1998-08,Transport,74.34
1998-09,Food,67.006
1998-09,Food Excl Food Serving Services,63.846
1998-09,Food Serving Services,69.488
1998-09,Housing & Utilities,73.771
1998-09,Transport,73.745
1998-10,Food,66.929
1998-10,Food Excl Food Serving Services,63.62
1998-10,Food Serving Services,69.536
1998-10,Housing & Utilities,73.609
1998-10,Transport,73.445
1998-11,Food,67.188
1998-11,Food Excl Food Serving Services,64.081
1998-11,Food Serving Services,69.624
1998-11,Housing & Utilities,73.606
1998-11,Transport,73.288
1998-12,Food,66.827
1998-12,Food Excl Food Serving Services,63.266
1998-12,Food Serving Services,69.647
1998-12,Housing & Utilities,73.6
1998-12,Transport,72.953
1999-01,Food,67.486
1999-01,Food Excl Food Serving Services,64.715
1999-01,Food Serving Services,69.637
1999-01,Housing & Utilities,73.111
1999-01,Transport,72.867
1999-02,Food,67.635
1999-02,Food Excl Food Serving Services,64.936
1999-02,Food Serving Services,69.725
1999-02,Housing & Utilities,73.116
1999-02,Transport,72.822
1999-03,Food,67.089
1999-03,Food Excl Food Serving Services,63.75
1999-03,Food Serving Services,69.722
1999-03,Housing & Utilities,73.116
1999-03,Transport,72.717
1999-04,Food,67.671
1999-04,Food Excl Food Serving Services,65.001
1999-04,Food Serving Services,69.737
1999-04,Housing & Utilities,72.548
1999-04,Transport,73.26
1999-05,Food,67.882
1999-05,Food Excl Food Serving Services,65.323
1999-05,Food Serving Services,69.853
1999-05,Housing & Utilities,72.548
1999-05,Transport,74.006
1999-06,Food,67.935
1999-06,Food Excl Food Serving Services,65.409
1999-06,Food Serving Services,69.878
1999-06,Housing & Utilities,72.548
1999-06,Transport,74.43
1999-07,Food,68.065
1999-07,Food Excl Food Serving Services,65.632
1999-07,Food Serving Services,69.93
1999-07,Housing & Utilities,72.783
1999-07,Transport,74.211
1999-08,Food,67.899
1999-08,Food Excl Food Serving Services,65.249
1999-08,Food Serving Services,69.948
1999-08,Housing & Utilities,72.782
1999-08,Transport,74.934
1999-09,Food,67.754
1999-09,Food Excl Food Serving Services,64.907
1999-09,Food Serving Services,69.969
1999-09,Housing & Utilities,72.782
1999-09,Transport,75.423
1999-10,Food,67.743
1999-10,Food Excl Food Serving Services,64.923
1999-10,Food Serving Services,69.935
1999-10,Housing & Utilities,72.546
1999-10,Transport,75.749
1999-11,Food,67.86
1999-11,Food Excl Food Serving Services,65.105
1999-11,Food Serving Services,69.998
1999-11,Housing & Utilities,72.54
1999-11,Transport,75.51
1999-12,Food,67.864
1999-12,Food Excl Food Serving Services,65.076
1999-12,Food Serving Services,70.03
1999-12,Housing & Utilities,72.54
1999-12,Transport,75.681
2000-01,Food,68.392
2000-01,Food Excl Food Serving Services,66.099
2000-01,Food Serving Services,70.137
2000-01,Housing & Utilities,73.448
2000-01,Transport,75.869
2000-02,Food,69.193
2000-02,Food Excl Food Serving Services,67.663
2000-02,Food Serving Services,70.293
2000-02,Housing & Utilities,73.447
2000-02,Transport,76.437
2000-03,Food,68.093
2000-03,Food Excl Food Serving Services,65.354
2000-03,Food Serving Services,70.216
2000-03,Housing & Utilities,73.489
2000-03,Transport,76.211
2000-04,Food,68.014
2000-04,Food Excl Food Serving Services,65.325
2000-04,Food Serving Services,70.095
2000-04,Housing & Utilities,73.551
2000-04,Transport,76.814
2000-05,Food,68.015
2000-05,Food Excl Food Serving Services,65.366
2000-05,Food Serving Services,70.062
2000-05,Housing & Utilities,73.877
2000-05,Transport,75.472
2000-06,Food,68.055
2000-06,Food Excl Food Serving Services,65.375
2000-06,Food Serving Services,70.129
2000-06,Housing & Utilities,73.877
2000-06,Transport,76.557
2000-07,Food,67.931
2000-07,Food Excl Food Serving Services,65.008
2000-07,Food Serving Services,70.209
2000-07,Housing & Utilities,74.686
2000-07,Transport,77.322
2000-08,Food,68.073
2000-08,Food Excl Food Serving Services,65.254
2000-08,Food Serving Services,70.263
2000-08,Housing & Utilities,76.003
2000-08,Transport,77.589
2000-09,Food,67.764
2000-09,Food Excl Food Serving Services,64.539
2000-09,Food Serving Services,70.297
2000-09,Housing & Utilities,76.068
2000-09,Transport,78.13
2000-10,Food,67.77
2000-10,Food Excl Food Serving Services,64.463
2000-10,Food Serving Services,70.374
2000-10,Housing & Utilities,76.287
2000-10,Transport,78.045
2000-11,Food,67.865
2000-11,Food Excl Food Serving Services,64.63
2000-11,Food Serving Services,70.406
2000-11,Housing & Utilities,76.351
2000-11,Transport,77.321
2000-12,Food,68.048
2000-12,Food Excl Food Serving Services,64.871
2000-12,Food Serving Services,70.54
2000-12,Housing & Utilities,76.418
2000-12,Transport,77.573
2001-01,Food,69.472
2001-01,Food Excl Food Serving Services,67.562
2001-01,Food Serving Services,70.891
2001-01,Housing & Utilities,76.634
2001-01,Transport,76.683
2001-02,Food,68.677
2001-02,Food Excl Food Serving Services,65.666
2001-02,Food Serving Services,71.027
2001-02,Housing & Utilities,77.368
2001-02,Transport,76.424
2001-03,Food,68.3
2001-03,Food Excl Food Serving Services,64.752
2001-03,Food Serving Services,71.106
2001-03,Housing & Utilities,77.367
2001-03,Transport,77.094
2001-04,Food,68.418
2001-04,Food Excl Food Serving Services,65.2
2001-04,Food Serving Services,70.944
2001-04,Housing & Utilities,77.367
2001-04,Transport,77.155
2001-05,Food,68.493
2001-05,Food Excl Food Serving Services,65.296
2001-05,Food Serving Services,71
2001-05,Housing & Utilities,75.984
2001-05,Transport,76.837
2001-06,Food,68.408
2001-06,Food Excl Food Serving Services,64.996
2001-06,Food Serving Services,71.098
2001-06,Housing & Utilities,75.985
2001-06,Transport,75.002
2001-07,Food,68.417
2001-07,Food Excl Food Serving Services,64.953
2001-07,Food Serving Services,71.151
2001-07,Housing & Utilities,75.966
2001-07,Transport,76.406
2001-08,Food,68.448
2001-08,Food Excl Food Serving Services,64.978
2001-08,Food Serving Services,71.186
2001-08,Housing & Utilities,75.965
2001-08,Transport,76.479
2001-09,Food,68.183
2001-09,Food Excl Food Serving Services,64.43
2001-09,Food Serving Services,71.161
2001-09,Housing & Utilities,75.778
2001-09,Transport,76.424
2001-10,Food,68.155
2001-10,Food Excl Food Serving Services,64.294
2001-10,Food Serving Services,71.225
2001-10,Housing & Utilities,75.724
2001-10,Transport,75.782
2001-11,Food,68.307
2001-11,Food Excl Food Serving Services,64.678
2001-11,Food Serving Services,71.181
2001-11,Housing & Utilities,75.334
2001-11,Transport,74.781
2001-12,Food,67.998
2001-12,Food Excl Food Serving Services,63.872
2001-12,Food Serving Services,71.291
2001-12,Housing & Utilities,75.335
2001-12,Transport,74.18
2002-01,Food,68.614
2002-01,Food Excl Food Serving Services,64.943
2002-01,Food Serving Services,71.521
2002-01,Housing & Utilities,74.411
2002-01,Transport,74.375
2002-02,Food,69.09
2002-02,Food Excl Food Serving Services,65.845
2002-02,Food Serving Services,71.637
2002-02,Housing & Utilities,74.411
2002-02,Transport,74.585
2002-03,Food,68.271
2002-03,Food Excl Food Serving Services,63.998
2002-03,Food Serving Services,71.687
2002-03,Housing & Utilities,74.411
2002-03,Transport,74.851
2002-04,Food,68.366
2002-04,Food Excl Food Serving Services,64.164
2002-04,Food Serving Services,71.722
2002-04,Housing & Utilities,74.2
2002-04,Transport,75.377
2002-05,Food,68.575
2002-05,Food Excl Food Serving Services,64.472
2002-05,Food Serving Services,71.846
2002-05,Housing & Utilities,74.331
2002-05,Transport,75.861
2002-06,Food,68.501
2002-06,Food Excl Food Serving Services,64.297
2002-06,Food Serving Services,71.858
2002-06,Housing & Utilities,74.331
2002-06,Transport,75.521
2002-07,Food,68.376
2002-07,Food Excl Food Serving Services,64.109
2002-07,Food Serving Services,71.788
2002-07,Housing & Utilities,74.684
2002-07,Transport,76.022
2002-08,Food,68.261
2002-08,Food Excl Food Serving Services,63.912
2002-08,Food Serving Services,71.742
2002-08,Housing & Utilities,74.678
2002-08,Transport,75.996
2002-09,Food,68.489
2002-09,Food Excl Food Serving Services,64.401
2002-09,Food Serving Services,71.75
2002-09,Housing & Utilities,74.68
2002-09,Transport,75.131
2002-10,Food,68.22
2002-10,Food Excl Food Serving Services,63.812
2002-10,Food Serving Services,71.75
2002-10,Housing & Utilities,74.821
2002-10,Transport,75.258
2002-11,Food,68.313
2002-11,Food Excl Food Serving Services,63.943
2002-11,Food Serving Services,71.812
2002-11,Housing & Utilities,74.872
2002-11,Transport,75.158
2002-12,Food,68.431
2002-12,Food Excl Food Serving Services,64.163
2002-12,Food Serving Services,71.843
2002-12,Housing & Utilities,74.862
2002-12,Transport,74.744
2003-01,Food,69.114
2003-01,Food Excl Food Serving Services,65.458
2003-01,Food Serving Services,72.008
2003-01,Housing & Utilities,74.156
2003-01,Transport,75.128
2003-02,Food,68.749
2003-02,Food Excl Food Serving Services,64.608
2003-02,Food Serving Services,72.052
2003-02,Housing & Utilities,74.182
2003-02,Transport,75.416
2003-03,Food,68.363
2003-03,Food Excl Food Serving Services,63.719
2003-03,Food Serving Services,72.093
2003-03,Housing & Utilities,74.223
2003-03,Transport,75.947
2003-04,Food,68.788
2003-04,Food Excl Food Serving Services,64.629
2003-04,Food Serving Services,72.107
2003-04,Housing & Utilities,75.394
2003-04,Transport,75.287
2003-05,Food,68.939
2003-05,Food Excl Food Serving Services,65.002
2003-05,Food Serving Services,72.07
2003-05,Housing & Utilities,74.311
2003-05,Transport,74.734
2003-06,Food,68.743
2003-06,Food Excl Food Serving Services,64.564
2003-06,Food Serving Services,72.079
2003-06,Housing & Utilities,74.311
2003-06,Transport,74.839
2003-07,Food,68.807
2003-07,Food Excl Food Serving Services,64.558
2003-07,Food Serving Services,72.202
2003-07,Housing & Utilities,74.552
2003-07,Transport,75.096
2003-08,Food,68.806
2003-08,Food Excl Food Serving Services,64.515
2003-08,Food Serving Services,72.238
2003-08,Housing & Utilities,74.554
2003-08,Transport,75.071
2003-09,Food,68.887
2003-09,Food Excl Food Serving Services,64.741
2003-09,Food Serving Services,72.195
2003-09,Housing & Utilities,74.552
2003-09,Transport,74.802
2003-10,Food,68.917
2003-10,Food Excl Food Serving Services,64.762
2003-10,Food Serving Services,72.231
2003-10,Housing & Utilities,74.004
2003-10,Transport,74.867
2003-11,Food,69.058
2003-11,Food Excl Food Serving Services,64.976
2003-11,Food Serving Services,72.31
2003-11,Housing & Utilities,73.721
2003-11,Transport,74.924
2003-12,Food,69.229
2003-12,Food Excl Food Serving Services,65.318
2003-12,Food Serving Services,72.338
2003-12,Housing & Utilities,73.721
2003-12,Transport,75.036
2004-01,Food,69.917
2004-01,Food Excl Food Serving Services,66.326
2004-01,Food Serving Services,72.748
2004-01,Housing & Utilities,70.857
2004-01,Transport,76.356
2004-02,Food,70.101
2004-02,Food Excl Food Serving Services,66.749
2004-02,Food Serving Services,72.739
2004-02,Housing & Utilities,75.093
2004-02,Transport,76.565
2004-03,Food,69.798
2004-03,Food Excl Food Serving Services,66.071
2004-03,Food Serving Services,72.739
2004-03,Housing & Utilities,72.502
2004-03,Transport,75.668
2004-04,Food,69.781
2004-04,Food Excl Food Serving Services,65.909
2004-04,Food Serving Services,72.837
2004-04,Housing & Utilities,74.965
2004-04,Transport,75.816
2004-05,Food,69.87
2004-05,Food Excl Food Serving Services,66.133
2004-05,Food Serving Services,72.818
2004-05,Housing & Utilities,74.962
2004-05,Transport,76.646
2004-06,Food,69.9
2004-06,Food Excl Food Serving Services,66.188
2004-06,Food Serving Services,72.829
2004-06,Housing & Utilities,72.458
2004-06,Transport,76.524
2004-07,Food,70.034
2004-07,Food Excl Food Serving Services,66.49
2004-07,Food Serving Services,72.826
2004-07,Housing & Utilities,74.973
2004-07,Transport,77.109
2004-08,Food,70.123
2004-08,Food Excl Food Serving Services,66.667
2004-08,Food Serving Services,72.844
2004-08,Housing & Utilities,74.971
2004-08,Transport,76.768
2004-09,Food,71.075
2004-09,Food Excl Food Serving Services,68.565
2004-09,Food Serving Services,73.031
2004-09,Housing & Utilities,74.719
2004-09,Transport,76.571
2004-10,Food,70.815
2004-10,Food Excl Food Serving Services,67.789
2004-10,Food Serving Services,73.188
2004-10,Housing & Utilities,75.113
2004-10,Transport,76.107
2004-11,Food,70.841
2004-11,Food Excl Food Serving Services,67.567
2004-11,Food Serving Services,73.414
2004-11,Housing & Utilities,75.072
2004-11,Transport,75.568
2004-12,Food,70.804
2004-12,Food Excl Food Serving Services,67.489
2004-12,Food Serving Services,73.411
2004-12,Housing & Utilities,75.098
2004-12,Transport,74.729
2005-01,Food,71.016
