month,level_2,value
1966-01,Food,23.897
1966-01,Food Excl Food Serving Services, 
1966-01,Food Serving Services, 
1966-01,Housing & Utilities,27.845
1966-01,Transport,20.608
1966-02,Food,23.527
1966-02,Food Excl Food Serving Services, 
1966-02,Food Serving Services, 
1966-02,Housing & Utilities,27.845
1966-02,Transport,20.608
1966-03,Food,23.21
1966-03,Food Excl Food Serving Services, 
1966-03,Food Serving Services, 
1966-03,Housing & Utilities,27.809
1966-03,Transport,20.608
1966-04,Food,23.356
1966-04,Food Excl Food Serving Services, 
1966-04,Food Serving Services, 
1966-04,Housing & Utilities,27.845
1966-04,Transport,20.608
1966-05,Food,23.334
1966-05,Food Excl Food Serving Services, 
1966-05,Food Serving Services, 
1966-05,Housing & Utilities,27.499
1966-05,Transport,20.608
1966-06,Food,23.468
1966-06,Food Excl Food Serving Services, 
1966-06,Food Serving Services, 
1966-06,Housing & Utilities,27.463
1966-06,Transport,20.608
1966-07,Food,23.609
1966-07,Food Excl Food Serving Services, 
1966-07,Food Serving Services, 
1966-07,Housing & Utilities,27.499
1966-07,Transport,20.608
1966-08,Food,23.888
1966-08,Food Excl Food Serving Services, 
1966-08,Food Serving Services, 
1966-08,Housing & Utilities,27.499
1966-08,Transport,20.608
1966-09,Food,23.635
1966-09,Food Excl Food Serving Services, 
1966-09,Food Serving Services, 
1966-09,Housing & Utilities,27.499
1966-09,Transport,20.608
1966-10,Food,23.369
1966-10,Food Excl Food Serving Services, 
1966-10,Food Serving Services, 
1966-10,Housing & Utilities,27.557
1966-10,Transport,20.608
1966-11,Food,23.608
1966-11,Food Excl Food Serving Services, 
1966-11,Food Serving Services, 
1966-11,Housing & Utilities,28.359
1966-11,Transport,20.632
1966-12,Food,23.873
1966-12,Food Excl Food Serving Services, 
1966-12,Food Serving Services, 
1966-12,Housing & Utilities,28.253
1966-12,Transport,20.632
1967-01,Food,24.476
1967-01,Food Excl Food Serving Services, 
1967-01,Food Serving Services, 
1967-01,Housing & Utilities,28.253
1967-01,Transport,20.632
1967-02,Food,24.476
1967-02,Food Excl Food Serving Services, 
1967-02,Food Serving Services, 
1967-02,Housing & Utilities,28.349
1967-02,Transport,20.632
1967-03,Food,24.274
1967-03,Food Excl Food Serving Services, 
1967-03,Food Serving Services, 
1967-03,Housing & Utilities,28.313
1967-03,Transport,20.632
1967-04,Food,23.643
1967-04,Food Excl Food Serving Services, 
1967-04,Food Serving Services, 
1967-04,Housing & Utilities,28.259
1967-04,Transport,20.632
1967-05,Food,23.963
1967-05,Food Excl Food Serving Services, 
1967-05,Food Serving Services, 
1967-05,Housing & Utilities,28.493
1967-05,Transport,20.632
1967-06,Food,24.438
1967-06,Food Excl Food Serving Services, 
1967-06,Food Serving Services, 
1967-06,Housing & Utilities,28.493
1967-06,Transport,20.632
1967-07,Food,24.968
